Season,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+
2025,"CHC",508,0.106299212,0.238188976,0.446280991,0.251121076,0.335305719,0.45515695,0.790462669,0.204035874,0.296416938,71.68762909617989,12.150599561601554,0.34294105939846303,123.5197420102933
2025,"CIN",506,0.092885375,0.235177865,0.394957983,0.268722466,0.337944664,0.400881057,0.738825721,0.132158591,0.337423312,64.12363809297834,4.821006312473158,0.3252792566896898,103.98292199884169
2025,"COL",457,0.059080962,0.280087527,0.2109375,0.223004694,0.27032967,0.399061032,0.669390702,0.176056338,0.274021352,45.03266333921862,-8.527223466494553,0.2900004606980544,71.71139238270658
2025,"MIA",488,0.081967213,0.225409836,0.363636363,0.248868778,0.311475409,0.389140271,0.70061568,0.140271493,0.300309597,54.666156741312804,-2.526895252534102,0.30708816500960806,94.74727531048147
2025,"HOU",478,0.060669456,0.20292887,0.298969072,0.259090909,0.30962343,0.39090909,0.70053252,0.131818181,0.3003003,53.414875712296315,-2.6061875111848534,0.3067489642977216,95.54525700074451
2025,"LAD",485,0.076288659,0.245360824,0.310924369,0.253968253,0.30927835,0.498866213,0.808144563,0.24489796,0.282392026,68.64741210336433,11.80595674062715,0.3436048775604091,121.78386279070297
2025,"MIL",483,0.093167701,0.233954451,0.398230088,0.247685185,0.318840579,0.351851851,0.67069243,0.104166666,0.309904153,50.844035139312574,-5.763022469351453,0.2987338488393195,92.5068974817411
2025,"WSN",489,0.08588957,0.220858895,0.388888888,0.253424657,0.325153374,0.431506849,0.756660223,0.178082192,0.299684542,63.64782563051213,6.3375747596286605,0.3295253968677638,111.95919514195002
2025,"NYM",491,0.083503054,0.224032586,0.372727272,0.239726027,0.310204081,0.447488584,0.757692665,0.207762557,0.266881028,62.56107474155327,5.016426116596664,0.32623414076666646,113.40674764771455
2025,"PHI",518,0.096525096,0.237451737,0.406504065,0.269565217,0.342359767,0.430434782,0.772794549,0.160869565,0.332307692,70.96099836319668,10.251980058252624,0.33761341694014674,116.24482212883161
2025,"PIT",501,0.093812375,0.249500998,0.376,0.251670378,0.325349301,0.445434298,0.770783599,0.19376392,0.303921568,67.34177829917118,8.625140903848866,0.334789567364904,113.9637614071875
2025,"STL",484,0.092975206,0.181818181,0.511363636,0.226851851,0.306418219,0.319444444,0.625862663,0.092592593,0.269230769,44.65944174808479,-12.064814737615816,0.2826924788038676,81.44546587062864
2025,"SDP",502,0.08565737,0.157370517,0.544303797,0.267260579,0.334004024,0.40311804,0.737122064,0.135857461,0.303867403,63.14935037484474,4.315514102485834,0.32405107457872845,111.98946788942719
2025,"SFG",492,0.105691056,0.227642276,0.464285714,0.223776223,0.31504065,0.358974358,0.674015008,0.135198135,0.27184466,52.48541718758955,-5.176430314403626,0.3004786748953951,95.07975424369775
